team_a_ppg_dif_l4,team_b_ppg_dif_l4,team_a_shots_average,team_b_shots_average,predict_xg_overall_team_a,predict_xg_overall_team_b,position_a_prematch,position_b_prematch,predict_xg_home_team_a,predict_xg_away_team_b,Result
1.0,0.71,10.4,15.92,1.152,3.7152,13,4,1.02145,2.52256,0
0.93,1.0,16.35,11.23,2.8616,1.1178,3,10,3.74449,1.08869,2
1.57333,0.584,10.5,9.85,1.9968,1.4872,11,13,2.09293,1.41021,0
1.27,2.9,10.69,8.85,1.242,1.1242,7,12,1.54241,0.898714,0
0.546667,0.76,9.96,9.46,1.7466,2.3652,11,8,2.67891,2.25868,0
1.22286,1.64,10.54,14.31,1.4605,1.782,8,9,1.58892,1.48491,1
0.455,0.486667,10.15,11.19,2.4426,1.5621,5,12,2.77112,1.59367,1
2.05,0.726667,16.0,14.35,2.2684,2.709,3,2,2.65875,2.03265,0
0.388571,0.82,16.85,11.65,1.9968,1.1178,2,4,2.57542,0.801125,0
0.68,0.78,9.12,15.58,1.0323,3.6064,14,2,1.30334,3.19979,1
1.016,1.25,11.5,13.54,0.9855,3.5828,6,1,1.04416,3.0869,1
0.8,0.84,15.44,10.78,2.9156,1.2626,2,8,3.30647,0.943591,2
6.44,0.976,10.93,11.48,2.329,2.5669,11,9,2.87437,2.38178,0
0.92,0.72,11.48,10.07,2.0538,1.4763,6,7,2.38949,1.11509,0
0.74,0.606667,9.89,10.41,1.9491,2.548,14,11,1.80594,1.67145,0
0.493333,2.52,16.04,9.37,3.182,1.3986,4,10,4.71661,1.33455,0
1.29,0.368889,9.96,14.07,1.4319,2.7324,8,4,1.63541,1.9986,0
0.806667,5.0,10.86,10.68,2.275,2.1672,15,12,2.54839,2.18573,0
0.502857,0.83,11.64,10.0,3.2424,0.9951,7,16,4.13231,0.922304,0
0.691429,0.984,10.61,13.71,0.9348,3.1174,9,1,1.13877,2.85718,1
1.0,4.92,9.25,9.43,1.29,2.002,17,12,1.798,2.00162,2
2.58,0.586667,11.57,10.54,2.244,1.8618,11,14,2.57651,1.75925,1
1.08,0.586667,11.07,10.39,3.1174,2.4897,13,14,3.64997,1.90395,0
0.88,0.833333,8.89,16.29,0.5616,1.4873,15,6,0.635591,0.974173,1
0.853333,0.645714,17.0,14.25,2.4704,0.8208,2,10,3.1862,0.74413,0
0.54,0.924444,15.36,15.79,2.375,2.236,3,5,2.66918,1.67753,2
0.48,0.337778,15.69,11.72,2.1944,2.17,4,6,2.90224,1.84393,0
1.6,0.426667,9.66,16.83,0.7704,2.7985,11,2,0.887014,1.81543,1
0.8,0.391111,13.93,10.76,3.5154,1.0292,1,14,3.67746,1.09126,1
0.8,5.12,9.86,11.76,1.62,2.76,17,10,1.67409,2.28519,0
0.373333,1.28,10.41,10.34,1.6385,1.881,13,8,1.56489,1.3488,0
1.28,0.693333,16.21,10.0,1.8995,1.08,5,7,2.57234,0.945338,2
4.8,3.04,10.52,9.41,2.1824,1.4857,12,18,2.1677,1.00646,0
